game_id,player_id,Player,MIN,FGM-A,3PM-A,FTM-A,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
10,19.0,Jon Perry,2,1-2,0-0,0-0,1,1,2,0,0,0,0,0,2
10,20.0,Alex Miller,8,1-2,0-0,0-0,0,1,1,0,0,1,1,1,2
11,8.0,Liech Kong,25,3-12,1-7,1-4,1,4,5,0,0,3,2,1,8
11,2.0,Onterio Miller,20,3-8,1-4,0-0,2,2,4,1,0,0,0,2,7
11,3.0,Darrell Green,20,3-8,2-5,0-2,1,1,2,1,0,1,0,2,8
11,6.0,Jaden Workman,16,2-2,0-0,2-3,1,0,1,0,0,0,2,0,6
11,11.0,Jacob Morgan,29,5-13,1-2,6-9,3,0,3,2,2,0,1,4,17
11,1.0,Brandon Joseph,7,0-1,0-0,0-2,1,2,3,0,0,1,0,1,0
11,5.0,Thomas Lewis,7,0-2,0-2,0-0,0,0,0,1,0,0,1,1,0
11,7.0,Josiah Gregg,4,1-1,0-0,0-0,0,0,0,1,1,0,1,2,2
11,9.0,Mal Graham,4,1-3,0-1,0-0,0,0,0,0,1,0,0,0,2
11,,Darnell Morris Jr.,19,2-2,1-1,2-5,0,4,4,1,2,1,1,3,7
11,12.0,Peter Capan,2,0-0,0-0,0-0,0,0,0,0,0,0,1,1,0
11,13.0,David Nwankwo,4,0-1,0-0,1-2,0,2,2,0,0,0,0,1,1
11,16.0,Can Dalli,15,1-5,1-3,0-0,0,0,0,0,0,0,1,2,3
11,17.0,BJ Smith,6,0-0,0-0,0-0,0,0,0,0,0,0,0,2,0
11,19.0,Jon Perry,14,1-5,0-1,1-2,7,2,9,0,0,0,1,0,3
11,20.0,Alex Miller,8,0-1,0-0,0-0,0,2,2,0,0,1,1,2,0
12,20.0,Alex Miller,30,7-8,0-0,0-1,2,5,7,1,0,2,1,1,14
12,3.0,Darrell Green,31,4-6,2-4,0-0,1,5,6,1,0,2,2,2,10
12,6.0,Jaden Workman,20,2-3,0-0,0-0,0,2,2,2,1,1,0,0,4
12,,Darnell Morris Jr.,21,1-7,0-2,0-0,0,4,4,1,2,0,3,2,2
12,11.0,Jacob Morgan,33,4-11,1-2,3-3,1,1,2,4,2,0,3,2,12
