game_id,Player,Player_and_number,MIN,FGM-A,3PM-A,FTM-A,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
7,Stefan Macakanja,G43Stefan Macakanja,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
7,Jon Perry,G44Jon Perry,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
7,Alex Miller,F45Alex Miller,11,"""2-2""",0-0,"""1-2""",2,2,4,0,0,0,0,3,5
7,TEAM,TMTEAM,,,,,0,1,1,,,,0,0,
7,TALS,TOTALS,,28-54,"""5-18""","""7-11""",6,31,37,10,9,2,17,17,68
7,,,,51.90%,27.80%,63.60%,,,,,,,,,
8,ARTERS,STARTERS,,,,,,,,,,,,,
8,Liech Kong,F14Liech Kong,21,"""2-5""",0-2,0-0,1,2,3,3,2,1,3,1,4
8,Onterio Miller,G01Onterio Miller,30,"""5-11""","""4-8""",0-0,5,4,9,0,0,0,1,0,14
8,Darrell Green,G02Darrell Green,25,0-2,0-1,0-0,0,6,6,3,0,0,5,2,0
8,Jaden Workman,G11Jaden Workman,28,"""1-5""","""1-1""","""5-6""",2,1,3,4,0,0,2,2,8
8,Jacob Morgan,G21Jacob Morgan,25,"""1-3""",0-0,"""1-5""",0,2,2,2,0,0,1,4,3
8,SERVES,RESERVES,,,,,,,,,,,,,
8,Brandon Joseph,F00Brandon Joseph,9,"""1-3""",0-0,0-0,2,2,4,1,0,0,2,2,2
8,Thomas Lewis,G05Thomas Lewis,4,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0
8,Darnell Morris Jr.,G20Darnell Morris Jr.,14,"""2-5""","""1-3""",0-0,0,1,1,1,2,1,1,0,5
8,Peter Capan,G22Peter Capan,7,0-1,0-0,0-0,0,0,0,0,0,0,1,0,0
8,Can Dalli,G32Can Dalli,19,"""9-13""","""5-9""","""1-1""",0,2,2,0,4,0,1,2,24
8,Alex Miller,F45Alex Miller,18,"""3-4""",0-0,0-1,0,5,5,1,0,0,2,2,6
8,TEAM,TMTEAM,,,,,1,4,5,,,,0,0,
8,TALS,TOTALS,,24-53,"""11-25""","""7-13""",11,29,40,15,8,2,19,15,66
8,,,,45.30%,44.00%,53.80%,,,,,,,,,
9,ARTERS,STARTERS,,,,,,,,,,,,,
9,Liech Kong,F14Liech Kong,29,"""3-6""","""1-4""","""4-4""",0,6,6,2,0,0,2,0,11
9,Onterio Miller,G01Onterio Miller,30,"""2-9""","""1-3""","""4-4""",1,2,3,1,0,0,2,3,9
9,Darrell Green,G02Darrell Green,29,"""8-8""","""3-3""",0-1,2,1,3,0,0,1,2,1,19
9,Jaden Workman,G11Jaden Workman,30,"""3-8""",0-2,"""2-2""",0,4,4,3,0,2,4,4,8
9,Can Dalli,G32Can Dalli,24,"""2-6""","""1-3""",0-0,1,1,2,1,1,0,2,1,5
9,SERVES,RESERVES,,,,,,,,,,,,,
9,Brandon Joseph,F00Brandon Joseph,7,"""1-1""",0-0,0-0,1,2,3,0,0,0,2,3,2
9,Josiah Gregg,F12Josiah Gregg,2,"""1-3""",0-0,0-0,1,0,1,0,0,0,0,0,2
9,Mal Graham,G15Mal Graham,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
9,Darnell Morris Jr.,G20Darnell Morris Jr.,21,"""1-3""",0-2,"""2-2""",1,1,2,0,0,0,4,0,4
9,Peter Capan,G22Peter Capan,6,"""2-2""","""1-1""",0-0,0,0,0,1,0,0,2,1,5
9,David Nwankwo,F23David Nwankwo,1,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0
9,Frank Pena,G25Frank Pena,4,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0
9,BJ Smith,G40BJ Smith,3,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0
9,Jon Perry,G44Jon Perry,1,0-0,0-0,"""2-2""",0,0,0,0,0,0,0,0,2
9,Alex Miller,F45Alex Miller,11,"""1-4""",0-0,0-0,2,2,4,1,0,1,0,1,2
9,TEAM,TMTEAM,,,,,2,3,5,,,,0,0,
9,TALS,TOTALS,,24-51,"""7-18""",14-15,11,23,34,10,1,4,20,14,69
9,,,,47.10%,38.90%,93.30%,,,,,,,,,
10,ARTERS,STARTERS,,,,,,,,,,,,,
10,Liech Kong,F14Liech Kong,32,"""2-4""",0-1,0-0,0,4,4,1,0,1,1,4,4
10,Darrell Green,G02Darrell Green,21,"""2-9""","""1-3""","""2-4""",2,2,4,0,0,0,3,1,7
10,Jaden Workman,G11Jaden Workman,18,"""3-4""",0-0,0-0,1,0,1,0,1,0,3,1,6
10,Jacob Morgan,G21Jacob Morgan,28,"""3-10""",0-1,0-0,2,5,7,3,4,0,1,1,6
10,Can Dalli,G32Can Dalli,20,"""3-10""","""3-10""","""2-3""",0,0,0,0,0,0,2,0,11
10,SERVES,RESERVES,,,,,,,,,,,,,
10,Brandon Joseph,F00Brandon Joseph,11,0-3,0-1,"""1-4""",2,1,3,0,0,1,0,1,1
10,Onterio Miller,G01Onterio Miller,21,"""7-12""","""2-7""",0-0,1,5,6,1,1,1,3,0,16
10,Thomas Lewis,G05Thomas Lewis,11,"""1-4""","""1-3""",0-0,1,0,1,3,0,0,0,0,3
10,Josiah Gregg,F12Josiah Gregg,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
10,Mal Graham,G15Mal Graham,3,0-2,0-1,0-0,0,0,0,0,0,0,1,1,0
